title,artist,genres,mood
Blinding Lights,The Weeknd,"synth-pop,r&b",energetic
Levitating,Dua Lipa,"pop,disco",happy
Save Your Tears,The Weeknd,"synth-pop,pop",melancholic
Don't Start Now,Dua Lipa,"pop,disco",energetic
Starboy,The Weeknd,"r&b,pop",dark
Physical,Dua Lipa,"pop,dance",energetic
Kiss Me More,Doja Cat,"pop,r&b",happy
Need to Know,Doja Cat,"r&b,dance",energetic
Say So,Doja Cat,"pop,disco",happy
In Your Eyes,The Weeknd,"synth-pop,r&b",romantic
Future Nostalgia,Dua Lipa,"pop,disco",energetic
